Test Strategy,Model Name,UTXOs,Unsigned PSBT (kB),Staging Duration (pre-confirmation),Pre-Confirmation Duration (seconds),Pre-Confirmation Signing Duration (seconds),Post-Confirmation Duration (seconds),
Simple (2 outputs),Model One,25,20,00:00:03,3,00:00:16,16,
Simple (2 outputs),Model T,25,20,00:00:06,6,00:00:26,26,
Simple (2 outputs),Nano S,25,20,00:00:03,3,00:00:59,59,
Simple (2 outputs),Nano X,25,20,00:00:02,2,00:00:26,26,
Simple (2 outputs),Nano S+,25,20,00:00:02,2,00:00:27,27,
Simple (2 outputs),Mk3,25,20,00:00:35,35,00:00:42,42,
Simple (2 outputs),Mk4,25,20,00:00:28,28,00:00:33,33,
Simple (2 outputs),Model One,50,40,00:00:06,6,00:00:48,48,
Simple (2 outputs),Model T,50,40,00:00:11,11,00:01:19,79,
Simple (2 outputs),Nano S,50,40,00:00:05,5,00:02:22,142,
Simple (2 outputs),Nano X,50,40,00:00:03,3,00:01:08,68,
Simple (2 outputs),Nano S+,50,40,00:00:03,3,00:01:06,66,
Simple (2 outputs),Mk3,50,40,00:01:10,70,00:02:22,142,
Simple (2 outputs),Mk4,50,40,00:00:55,55,00:01:41,101,
Simple (2 outputs),Model One,100,80,00:00:11,11,00:02:37,157,
Simple (2 outputs),Model T,100,80,00:00:21,21,00:04:37,277,
Simple (2 outputs),Nano S,100,80,00:00:11,11,00:06:30,390,
Simple (2 outputs),Nano X,100,80,00:00:06,6,00:03:09,189,
Simple (2 outputs),Nano S+,100,80,00:00:06,6,00:03:04,184,
Simple (2 outputs),Mk3,100,80,00:02:27,147,00:09:45,585,
Simple (2 outputs),Mk4,100,80,00:02:00,120,00:08:31,511,
Simple (2 outputs),Model One,250,248,00:00:26,26,00:14:39,879,
Simple (2 outputs),Model T,250,248,00:00:53,53,00:28:09,1689,
Simple (2 outputs),Nano S,250,248,00:00:32,32,00:28:21,1701,
Simple (2 outputs),Nano X,250,248,00:00:17,17,00:14:21,861,
Simple (2 outputs),Nano S+,250,248,00:00:16,16,00:14:15,855,
Simple (2 outputs),Mk3,250,248,,,,,
Simple (2 outputs),Mk4,250,248,00:05:50,350,01:06:58,4018,
Simple (2 outputs),Model One,500,474,00:00:51,51,00:58:55,3535,
Simple (2 outputs),Model T,500,474,00:01:38,98,01:40:53,6053,
Simple (2 outputs),Nano S,500,474,00:01:00,60,01:37:31,5851,
Simple (2 outputs),Nano X,500,474,00:00:34,34,00:52:56,3176,
Simple (2 outputs),Nano S+,500,474,00:00:32,32,00:49:16,2956,
Simple (2 outputs),Mk3,500,474,,,,,
Simple (2 outputs),Mk4,500,474,,,,,
Exchange Simulation (30 outputs),Model One,25,63,00:00:03,3,00:00:21,21,
Exchange Simulation (30 outputs),Model T,25,63,00:00:06,6,00:00:32,32,
Exchange Simulation (30 outputs),Nano S,25,63,00:00:11,11,00:00:58,58,
Exchange Simulation (30 outputs),Nano X,25,63,00:00:06,6,00:00:27,27,
Exchange Simulation (30 outputs),Nano S+,25,63,00:00:06,6,00:00:27,27,
Exchange Simulation (30 outputs),Mk3,25,63,00:01:02,62,00:00:46,46,
Exchange Simulation (30 outputs),Mk4,25,63,00:00:49,49,00:00:36,36,
Exchange Simulation (30 outputs),Model One,50,120,00:00:06,6,00:00:54,54,
Exchange Simulation (30 outputs),Model T,50,120,00:00:12,12,00:01:30,90,
Exchange Simulation (30 outputs),Nano S,50,120,00:00:21,21,00:02:23,143,
Exchange Simulation (30 outputs),Nano X,50,120,00:00:12,12,00:01:07,67,
Exchange Simulation (30 outputs),Nano S+,50,120,00:00:11,11,00:01:07,67,
Exchange Simulation (30 outputs),Mk3,50,120,00:02:00,120,00:02:29,149,
Exchange Simulation (30 outputs),Mk4,50,120,00:01:32,92,00:01:46,106,
Exchange Simulation (30 outputs),Model One,100,225,00:00:10,10,00:02:49,169,
Exchange Simulation (30 outputs),Model T,100,225,00:00:22,22,00:04:56,296,
Exchange Simulation (30 outputs),Nano S,100,225,00:00:39,39,00:06:27,387,
Exchange Simulation (30 outputs),Nano X,100,225,00:00:24,24,00:03:09,189,
Exchange Simulation (30 outputs),Nano S+,100,225,00:00:22,22,00:03:04,184,
Exchange Simulation (30 outputs),Mk3,100,225,00:04:03,243,00:10:00,600,
Exchange Simulation (30 outputs),Mk4,100,225,00:03:14,194,00:08:45,525,
Exchange Simulation (30 outputs),Model One,250,528,00:00:25,25,00:15:50,950,
Exchange Simulation (30 outputs),Model T,250,528,00:00:48,48,00:27:00,1620,
Exchange Simulation (30 outputs),Nano S,250,528,00:01:36,96,00:28:19,1699,
Exchange Simulation (30 outputs),Nano X,250,528,00:00:57,57,00:14:21,861,
Exchange Simulation (30 outputs),Nano S+,250,528,00:00:51,51,00:13:58,838,
Exchange Simulation (30 outputs),Mk3,250,528,,,,,
Exchange Simulation (30 outputs),Mk4,250,528,00:08:32,512,01:07:20,4040,
Mining Pool Simulation (300 outputs),Model One,25,339,00:00:03,3,00:00:51,51,
Mining Pool Simulation (300 outputs),Model T,25,339,00:00:06,6,00:01:18,78,
Mining Pool Simulation (300 outputs),Nano S,25,339,00:01:15,75,00:01:00,60,
Mining Pool Simulation (300 outputs),Nano X,25,339,00:00:44,44,00:00:27,27,
Mining Pool Simulation (300 outputs),Nano S+,25,339,00:00:41,41,00:00:28,28,
Mining Pool Simulation (300 outputs),Mk3,25,339,00:04:04,244,00:01:08,68,
Mining Pool Simulation (300 outputs),Mk4,25,339,00:03:04,184,00:00:54,54,
Mining Pool Simulation (300 outputs),Model One,50,677,00:00:06,6,00:02:00,120,
Mining Pool Simulation (300 outputs),Model T,50,677,00:00:11,11,00:03:06,186,
Mining Pool Simulation (300 outputs),Nano S,50,677,00:02:28,148,00:02:24,144,
Mining Pool Simulation (300 outputs),Nano X,50,677,00:01:25,85,00:01:09,69,
Mining Pool Simulation (300 outputs),Nano S+,50,677,00:01:21,81,00:01:07,67,
Mining Pool Simulation (300 outputs),Mk3,50,677,,,,,
Mining Pool Simulation (300 outputs),Mk4,50,677,00:06:14,374,00:02:28,148,
Mining Pool Simulation (300 outputs),Model One,100,1352,00:00:11,11,00:04:59,299,
Mining Pool Simulation (300 outputs),Model T,100,1352,00:00:22,22,00:08:01,481,
Mining Pool Simulation (300 outputs),Nano S,100,1352,00:04:56,296,00:06:30,390,
Mining Pool Simulation (300 outputs),Nano X,100,1352,00:02:43,163,00:03:09,189,
Mining Pool Simulation (300 outputs),Nano S+,100,1352,00:02:35,155,00:03:01,181,
Mining Pool Simulation (300 outputs),Mk3,100,1352,,,,,
Mining Pool Simulation (300 outputs),Mk4,100,1352,00:13:15,795,00:10:22,622,
Mining Pool Simulation (300 outputs),Model One,250,3381,00:00:27,27,00:20:26,1226,
Mining Pool Simulation (300 outputs),Model T,250,3381,00:00:49,49,00:34:35,2075,
Mining Pool Simulation (300 outputs),Nano S,250,3381,00:12:20,740,00:28:24,1704,
Mining Pool Simulation (300 outputs),Nano X,250,3381,00:07:01,421,00:14:35,875,
Mining Pool Simulation (300 outputs),Nano S+,250,3381,00:06:26,386,00:13:58,838,
Mining Pool Simulation (300 outputs),Mk3,250,3381,,,,,
Mining Pool Simulation (300 outputs),Mk4,250,3381,,,,,
F2Pool Simulation (3000 outputs),Model One,2,266,00:00:01,1,00:00:29,29,
F2Pool Simulation (3000 outputs),Model T,2,266,00:00:01,1,00:00:44,44,
F2Pool Simulation (3000 outputs),Nano S,2,266,00:00:59,59,00:00:05,5,
F2Pool Simulation (3000 outputs),Nano X,2,266,00:00:34,34,00:00:03,3,
F2Pool Simulation (3000 outputs),Nano S+,2,266,00:00:33,33,00:00:03,3,
F2Pool Simulation (3000 outputs),Mk3,2,266,00:02:49,169,00:00:25,25,
F2Pool Simulation (3000 outputs),Mk4,2,266,00:02:10,130,00:00:22,22,
F2Pool Simulation (3000 outputs),Model One,3,395,00:00:01,1,00:00:44,44,
F2Pool Simulation (3000 outputs),Model T,3,395,00:00:01,1,00:01:08,68,
F2Pool Simulation (3000 outputs),Nano S,3,395,00:01:27,87,00:00:07,7,
F2Pool Simulation (3000 outputs),Nano X,3,395,00:00:51,51,00:00:04,4,
F2Pool Simulation (3000 outputs),Nano S+,3,395,00:00:50,50,00:00:04,4,
F2Pool Simulation (3000 outputs),Mk3,3,395,,,,,
F2Pool Simulation (3000 outputs),Mk4,3,395,00:03:12,192,00:00:30,30,
F2Pool Simulation (3000 outputs),Model One,10,1295,00:00:02,2,00:02:23,143,
F2Pool Simulation (3000 outputs),Model T,10,1295,00:00:03,3,00:03:47,227,
F2Pool Simulation (3000 outputs),Nano S,10,1295,00:04:50,290,00:00:25,25,
F2Pool Simulation (3000 outputs),Nano X,10,1295,00:02:47,167,00:00:13,13,
F2Pool Simulation (3000 outputs),Nano S+,10,1295,00:02:44,164,00:00:13,13,
F2Pool Simulation (3000 outputs),Mk3,10,1295,,,,,
F2Pool Simulation (3000 outputs),Mk4,10,1295,00:10:26,626,00:01:31,91,
F2Pool Simulation (3000 outputs),Model One,25,3228,00:00:04,4,00:06:44,404,
F2Pool Simulation (3000 outputs),Model T,25,3228,00:00:07,7,00:09:14,554,
F2Pool Simulation (3000 outputs),Nano S,25,3228,00:12:00,720,00:01:08,68,
F2Pool Simulation (3000 outputs),Nano X,25,3228,00:06:55,415,00:00:34,34,
F2Pool Simulation (3000 outputs),Nano S+,25,3228,00:06:37,397,00:00:35,35,
F2Pool Simulation (3000 outputs),Mk3,25,3228,,,,,
F2Pool Simulation (3000 outputs),Mk4,25,3228,,,,,
F2Pool Simulation (3000 outputs),Model One,100,12886,00:00:16,16,00:26:28,1588,
F2Pool Simulation (3000 outputs),Model T,100,12886,00:00:25,25,00:44:47,2687,
F2Pool Simulation (3000 outputs),Nano S,100,12886,00:47:51,2871,00:06:31,391,
F2Pool Simulation (3000 outputs),Nano X,100,12886,00:26:35,1595,00:03:08,188,
F2Pool Simulation (3000 outputs),Nano S+,100,12886,00:26:01,1561,00:03:11,191,
F2Pool Simulation (3000 outputs),Mk3,100,12886,,,,,
F2Pool Simulation (3000 outputs),Mk4,100,12886,,,,,
